"species","order","site","longitude","latitude","count","adult_body_mass","gestation_length","litter_size","max_longevity","sexual_maturity_age","diet_breadth"
"sp_026","Cetartiodactyla","fb_1002",21.2718205090001,52.597357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1022",-2.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1011",-7.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1037",5.27182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1036",4.77182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1024",-1.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1018",-4.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1001",20.7718205090001,52.597357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1009",-8.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_032","Chiroptera","fb_1002",21.2718205090001,52.597357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_104",7.77182050900007,59.097357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_1001",20.7718205090001,52.597357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_102",6.77182050900007,59.097357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_103",7.27182050900007,59.097357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_1000",20.2718205090001,52.597357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_101",6.27182050900007,59.097357489,1,10.72,NA,1.5,186,NA,1
"sp_033","Eulipotyphla","fb_104",7.77182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1010",-8.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1035",4.27182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1011",-7.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1018",-4.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1029",1.27182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1025",-0.728179490999928,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_103",7.27182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1020",-3.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1038",5.77182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_102",6.77182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_101",6.27182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1028",0.771820509000072,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1023",-1.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1036",4.77182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1017",-4.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1026",-0.228179490999928,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1009",-8.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_100",5.77182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1040",6.77182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1022",-2.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1008",-9.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1037",5.27182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1019",-3.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1007",-9.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1021",-2.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1027",0.271820509000072,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1024",-1.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1039",6.27182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_034","Eulipotyphla","fb_1000",20.2718205090001,52.597357489,1,NA,NA,NA,NA,NA,NA
"sp_034","Eulipotyphla","fb_1001",20.7718205090001,52.597357489,1,NA,NA,NA,NA,NA,NA
"sp_034","Eulipotyphla","fb_1002",21.2718205090001,52.597357489,1,NA,NA,NA,NA,NA,NA
"sp_035","Rodentia","fb_1040",6.77182050900007,52.097357489,1,94.16,34.98,5.01,NA,352.43,NA
"sp_038","Rodentia","fb_1002",21.2718205090001,52.597357489,1,128.09,28.19,5.17,108,339.31,NA
"sp_038","Rodentia","fb_1000",20.2718205090001,52.597357489,1,128.09,28.19,5.17,108,339.31,NA
"sp_038","Rodentia","fb_1025",-0.728179490999928,52.097357489,1,128.09,28.19,5.17,108,339.31,NA
"sp_038","Rodentia","fb_1001",20.7718205090001,52.597357489,1,128.09,28.19,5.17,108,339.31,NA
"sp_039","Carnivora","fb_103",7.27182050900007,59.097357489,1,12792.49,161.73,2.84,216,756.6,1
"sp_039","Carnivora","fb_104",7.77182050900007,59.097357489,1,12792.49,161.73,2.84,216,756.6,1
