"site";"species";"longitude";"latitude";"count";"sla";"n_mass";"wood_dens"
"PA_10807038010661";"acer_pensylvanicum";-77,13858;40,9723;1;25,2665021666667;2,221025493;0,44
"PA_222095588010661";"acer_pensylvanicum";-77,74448;40,55336;1;25,2665021666667;2,221025493;0,44
"PA_247104537010661";"acer_pensylvanicum";-78,42257;41,69591;4;25,2665021666667;2,221025493;0,44
"PA_145021187010661";"acer_pensylvanicum";-77,444985;40,925589;1;25,2665021666667;2,221025493;0,44
"PA_76870802010538";"acer_pensylvanicum";-77,05361;40,53404;2;25,2665021666667;2,221025493;0,44
"PA_58564551010538";"acer_pensylvanicum";-75,464915;41,283962;3;25,2665021666667;2,221025493;0,44
"PA_113493243010661";"acer_pensylvanicum";-78,31417;41,804027;1;25,2665021666667;2,221025493;0,44
"PA_145020525010661";"acer_pensylvanicum";-78,41446;41,903637;3;25,2665021666667;2,221025493;0,44
"PA_58534021010538";"acer_pensylvanicum";-79,180813;40,190067;1;25,2665021666667;2,221025493;0,44
"PA_247104844010661";"acer_pensylvanicum";-76,98559;40,31247;2;25,2665021666667;2,221025493;0,44
"PA_58194759010538";"acer_pensylvanicum";-76,41601;41,36635;3;25,2665021666667;2,221025493;0,44
"PA_222095378010661";"acer_pensylvanicum";-77,9242;41,72896;2;25,2665021666667;2,221025493;0,44
"PA_222095408010661";"acer_pensylvanicum";-78,40328;41,20504;6;25,2665021666667;2,221025493;0,44
"PA_58294938010538";"acer_pensylvanicum";-76,96627;41,58877;3;25,2665021666667;2,221025493;0,44
"PA_113492979010661";"acer_pensylvanicum";-77,696102;41,362212;1;25,2665021666667;2,221025493;0,44
"PA_168997330010661";"acer_pensylvanicum";-76,64031;41,59252;11;25,2665021666667;2,221025493;0,44
"PA_168997608010661";"acer_pensylvanicum";-77,42494;41,74618;4;25,2665021666667;2,221025493;0,44
"PA_58292044010538";"acer_pensylvanicum";-79,29045;39,81992;5;25,2665021666667;2,221025493;0,44
"PA_58387990010538";"acer_pensylvanicum";-78,216462;39,873842;6;25,2665021666667;2,221025493;0,44
"PA_222095412010661";"acer_pensylvanicum";-78,31794;41,04244;1;25,2665021666667;2,221025493;0,44
"PA_68294202010538";"acer_pensylvanicum";-79,241962;40,073778;8;25,2665021666667;2,221025493;0,44
"PA_58268092010538";"acer_pensylvanicum";-78,31794;41,04244;1;25,2665021666667;2,221025493;0,44
"PA_58318739010538";"acer_pensylvanicum";-78,42257;41,69591;1;25,2665021666667;2,221025493;0,44
